city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
0.91,'Female','No relevent experience','Full time course','Graduate','Other',5,'10-49','Pvt Ltd',1,127,0
0.884,'Female','Has relevent experience','no_enrollment','Graduate','STEM',7,'10-49','NGO',1,39,0
0.92,'Female','Has relevent experience','no_enrollment','Graduate','STEM',10,'10-49','Funded Startup',1,144,0
0.884,'Female','Has relevent experience','no_enrollment','Graduate','STEM',5,'10-49','Funded Startup',1,94,0
0.92,'Female','Has relevent experience','no_enrollment','Masters','STEM',2,'10-49','Pvt Ltd',2,72,0
0.92,'Female','Has relevent experience','no_enrollment','Graduate','Arts',4,'10-49','Pvt Ltd',3,87,0
0.925,'Female','No relevent experience','Full time course','Graduate','STEM',2,'10-49','Early Stage Startup',1,100,0
0.698,'Female','No relevent experience','Part time course','Graduate','Other',3,'10-49','Funded Startup',1,14,0
0.92,'Female','Has relevent experience','no_enrollment','Masters','STEM',6,'10-49','Early Stage Startup',1,18,0
0.92,'Female','Has relevent experience','no_enrollment','Graduate','Humanities',7,'10-49','Funded Startup',1,25,0
0.92,'Male','Has relevent experience','no_enrollment','Graduate','STEM',10,'10-49','Early Stage Startup',2,206,0
0.923,'Male','Has relevent experience','no_enrollment','Graduate','STEM',11,'10-49','Pvt Ltd',1,21,0
0.827,'Male','Has relevent experience','no_enrollment','Graduate','STEM',2,'10-49','Pvt Ltd',1,29,0
0.884,'Male','Has relevent experience','no_enrollment','Graduate','STEM',15,'10-49','Early Stage Startup',1,86,0
0.624,'Male','Has relevent experience','Full time course','Graduate','STEM',2,'10-49','NGO',2,101,0
0.693,'Male','Has relevent experience','Full time course','Graduate','STEM',11,'10-49','Pvt Ltd',2,109,0
0.92,'Male','Has relevent experience','no_enrollment','Masters','STEM',9,'10-49','Pvt Ltd',1,22,0
0.926,'Male','Has relevent experience','no_enrollment','Masters','STEM',11,'10-49','Early Stage Startup',1,40,0
0.878,'Male','No relevent experience','Part time course','Graduate','STEM',10,'10-49','Early Stage Startup',1,25,0
0.727,'Male','Has relevent experience','no_enrollment','Graduate','STEM',10,'10-49','Pvt Ltd',2,113,0
0.579,'Male','Has relevent experience','no_enrollment','Graduate','STEM',4,'10-49','Pvt Ltd',1,320,0
0.899,'Male','Has relevent experience','no_enrollment','Graduate','STEM',5,'10-49','Funded Startup',1,19,0
0.91,'Male','Has relevent experience','no_enrollment','Graduate','STEM',16,'10-49','Pvt Ltd',1,53,0
0.855,'Male','Has relevent experience','no_enrollment','Graduate','STEM',10,'10-49','Funded Startup',1,161,0
0.897,'Male','No relevent experience','no_enrollment','Masters','STEM',8,'10-49','Pvt Ltd',1,11,0
0.92,'Male','Has relevent experience','no_enrollment','Graduate','STEM',8,'10-49','Funded Startup',1,18,0
0.92,'Male','Has relevent experience','no_enrollment','Graduate','No Major',17,'10-49','Pvt Ltd',3,20,0
0.827,'Male','Has relevent experience','Full time course','Graduate','STEM',5,'10-49','Public Sector',1,6,0
0.897,'Male','Has relevent experience','no_enrollment','Masters','STEM',6,'10-49','Early Stage Startup',1,91,0
0.92,'Male','Has relevent experience','Full time course','Masters','STEM',8,'10-49','Funded Startup',1,38,0
0.884,'Male','Has relevent experience','no_enrollment','Graduate','STEM',13,'10-49','Pvt Ltd',2,101,0
0.84,'Male','Has relevent experience','Full time course','Graduate','STEM',9,'10-49','Other',1,34,0
0.92,'Male','Has relevent experience','no_enrollment','Graduate','STEM',12,'10-49','Pvt Ltd',1,34,0
0.742,'Male','Has relevent experience','no_enrollment','Graduate','Business Degree',4,'10-49','Pvt Ltd',1,188,0
0.804,'Male','Has relevent experience','no_enrollment','Masters','STEM',13,'10-49','Early Stage Startup',1,12,0
0.92,'Male','Has relevent experience','no_enrollment','Graduate','STEM',6,'10-49','Early Stage Startup',1,9,0
0.55,'Male','Has relevent experience','no_enrollment','Graduate','STEM',6,'10-49','Funded Startup',1,3,0
0.91,'Male','Has relevent experience','no_enrollment','Graduate','STEM',9,'10-49','Funded Startup',1,17,0
0.915,'Male','Has relevent experience','no_enrollment','Graduate','STEM',9,'10-49','Pvt Ltd',1,20,0
0.92,'Male','Has relevent experience','no_enrollment','Graduate','STEM',11,'10-49','Pvt Ltd',1,4,0
0.926,'Male','Has relevent experience','no_enrollment','Masters','STEM',5,'10-49','Pvt Ltd',1,32,0
0.698,'Male','Has relevent experience','Part time course','Graduate','STEM',13,'10-49','NGO',3,50,0
0.91,'Male','Has relevent experience','no_enrollment','Graduate','Arts',4,'10-49','Pvt Ltd',2,45,0
0.624,'Male','Has relevent experience','no_enrollment','Masters','STEM',7,'10-49','Pvt Ltd',1,284,0
0.92,'Male','Has relevent experience','no_enrollment','Graduate','Arts',3,'10-49','Early Stage Startup',1,21,0
0.92,'Male','Has relevent experience','no_enrollment','Graduate','STEM',6,'10-49','Funded Startup',2,19,0
0.827,'Male','Has relevent experience','no_enrollment','Masters','STEM',20,'10-49','Early Stage Startup',1,22,0
0.878,'Male','Has relevent experience','no_enrollment','Graduate','STEM',13,'10-49','Pvt Ltd',3,8,0
0.722,'Male','Has relevent experience','no_enrollment','Graduate','STEM',11,'10-49','Pvt Ltd',1,91,0
0.762,'Male','Has relevent experience','no_enrollment','Graduate','STEM',6,'10-49','Early Stage Startup',1,23,0
0.855,'Male','Has relevent experience','Full time course','Graduate','STEM',5,'10-49','Pvt Ltd',1,240,0
0.763,'Male','Has relevent experience','no_enrollment','Masters','STEM',9,'10-49','Pvt Ltd',2,50,0
0.92,'Male','Has relevent experience','no_enrollment','Graduate','STEM',16,'10-49','Pvt Ltd',3,7,0
0.92,'Male','Has relevent experience','no_enrollment','Masters','STEM',15,'10-49','Funded Startup',1,90,0
0.804,'Male','Has relevent experience','no_enrollment','Masters','STEM',20,'10-49','Pvt Ltd',1,13,0
0.926,'Male','Has relevent experience','Part time course','Graduate','STEM',11,'10-49','Funded Startup',1,90,0
0.754,'Male','Has relevent experience','Part time course','Graduate','STEM',7,'10-49','Pvt Ltd',1,28,0
0.897,'Male','No relevent experience','no_enrollment','Masters','STEM',12,'10-49','Funded Startup',2,14,0
0.91,'Male','Has relevent experience','no_enrollment','Graduate','STEM',9,'10-49','Pvt Ltd',2,21,0
0.91,'Male','Has relevent experience','no_enrollment','Graduate','STEM',16,'10-49','Funded Startup',2,41,0
0.926,'Male','Has relevent experience','no_enrollment','Masters','STEM',14,'10-49','Pvt Ltd',2,92,0
0.92,'Male','Has relevent experience','no_enrollment','Graduate','STEM',10,'10-49','Pvt Ltd',1,44,0
0.897,'Male','Has relevent experience','no_enrollment','Masters','STEM',7,'10-49','Pvt Ltd',2,64,0
0.893,'Male','Has relevent experience','Part time course','Graduate','No Major',9,'10-49','Pvt Ltd',2,38,0
0.767,'Male','Has relevent experience','no_enrollment','Graduate','STEM',3,'10-49','Funded Startup',1,22,0
0.925,'Male','Has relevent experience','no_enrollment','Masters','Other',9,'10-49','Early Stage Startup',1,52,0
0.92,'Male','Has relevent experience','no_enrollment','Graduate','STEM',6,'10-49','Pvt Ltd',2,292,0
0.624,'Male','Has relevent experience','Full time course','Graduate','STEM',2,'10-49','Pvt Ltd',1,17,0
0.884,'Male','Has relevent experience','no_enrollment','Masters','STEM',15,'10-49','Pvt Ltd',3,24,0
0.866,'Male','Has relevent experience','Full time course','Graduate','STEM',8,'10-49','Pvt Ltd',1,44,0
0.92,'Male','Has relevent experience','no_enrollment','Graduate','STEM',9,'10-49','Pvt Ltd',1,85,0
0.897,'Male','Has relevent experience','no_enrollment','Graduate','STEM',12,'10-49','Pvt Ltd',1,113,0
0.91,'Male','Has relevent experience','no_enrollment','Graduate','Arts',15,'10-49','Funded Startup',1,114,0
0.92,'Male','Has relevent experience','Part time course','Graduate','Other',5,'10-49','Pvt Ltd',2,70,0
0.926,'Male','Has relevent experience','no_enrollment','Graduate','STEM',8,'10-49','Pvt Ltd',4,72,0
0.92,'Male','Has relevent experience','no_enrollment','Graduate','STEM',12,'10-49','Funded Startup',2,56,0
0.884,'Male','Has relevent experience','no_enrollment','Graduate','STEM',9,'10-49','Funded Startup',1,69,0
0.926,'Male','Has relevent experience','Part time course','Graduate','STEM',11,'10-49','Funded Startup',1,45,0
0.802,'Male','Has relevent experience','no_enrollment','Graduate','STEM',11,'10-49','Pvt Ltd',3,10,0
0.788,'Male','Has relevent experience','no_enrollment','Graduate','STEM',5,'10-49','Pvt Ltd',2,222,0
0.764,'Male','Has relevent experience','Full time course','Graduate','STEM',4,'10-49','Pvt Ltd',2,12,0
0.754,'Male','Has relevent experience','no_enrollment','Graduate','STEM',11,'10-49','Pvt Ltd',3,88,0
0.666,'Male','Has relevent experience','no_enrollment','Graduate','STEM',9,'10-49','Funded Startup',1,78,0
0.92,'Male','Has relevent experience','no_enrollment','Graduate','STEM',7,'10-49','Funded Startup',2,2,0
0.924,'Male','Has relevent experience','no_enrollment','Graduate','STEM',12,'10-49','Pvt Ltd',1,84,0
0.624,'Male','Has relevent experience','no_enrollment','Graduate','STEM',3,'10-49','Early Stage Startup',1,158,0
0.92,'Male','No relevent experience','no_enrollment','Graduate','STEM',16,'10-49','Pvt Ltd',1,113,0
0.855,'Male','Has relevent experience','no_enrollment','Graduate','STEM',9,'10-49','Funded Startup',2,53,0
0.624,'Male','Has relevent experience','no_enrollment','Graduate','STEM',3,'10-49','Funded Startup',1,57,0
0.92,'Male','Has relevent experience','no_enrollment','Graduate','STEM',8,'10-49','Pvt Ltd',2,26,0
0.83,'Male','Has relevent experience','no_enrollment','Masters','STEM',10,'10-49','Pvt Ltd',1,45,0
0.92,'Male','Has relevent experience','no_enrollment','Graduate','STEM',9,'10-49','Pvt Ltd',2,66,0
0.887,'Male','Has relevent experience','no_enrollment','Graduate','STEM',16,'10-49','Pvt Ltd',2,202,0
0.92,'Male','No relevent experience','Full time course','Graduate','STEM',4,'10-49','Early Stage Startup',1,151,0
0.92,'Male','Has relevent experience','no_enrollment','Graduate','STEM',13,'10-49','Funded Startup',4,21,0
0.91,'Male','Has relevent experience','no_enrollment','Masters','STEM',16,'10-49','Pvt Ltd',2,170,0
0.899,'Male','Has relevent experience','Part time course','Graduate','STEM',8,'10-49','Early Stage Startup',1,19,0
0.666,'Male','No relevent experience','Full time course','Graduate','STEM',3,'10-49','Pvt Ltd',1,18,0
0.91,'Male','Has relevent experience','no_enrollment','Graduate','STEM',10,'10-49','Pvt Ltd',3,105,0
0.92,'Male','Has relevent experience','no_enrollment','Graduate','Other',9,'10-49','Pvt Ltd',1,91,0
0.848,'Male','Has relevent experience','no_enrollment','Masters','STEM',15,'10-49','Early Stage Startup',1,31,0
0.55,'Male','Has relevent experience','Part time course','Graduate','STEM',2,'10-49','Early Stage Startup',1,41,0
0.92,'Male','Has relevent experience','no_enrollment','Graduate','Other',10,'10-49','Pvt Ltd',1,52,0
0.91,'Male','Has relevent experience','no_enrollment','Graduate','STEM',8,'10-49','Funded Startup',1,104,0
0.926,'Male','No relevent experience','Full time course','Masters','STEM',11,'10-49','Public Sector',1,11,0
0.91,'Male','Has relevent experience','no_enrollment','Graduate','STEM',15,'10-49','Pvt Ltd',2,94,0
0.926,'Male','No relevent experience','Full time course','Graduate','STEM',5,'10-49','Early Stage Startup',1,21,0
0.926,'Male','Has relevent experience','no_enrollment','Graduate','STEM',19,'10-49','Funded Startup',2,45,0
0.698,'Male','Has relevent experience','Part time course','Graduate','STEM',9,'10-49','Funded Startup',1,44,0
0.92,'Male','Has relevent experience','no_enrollment','Graduate','Humanities',15,'10-49','Funded Startup',4,152,0
0.827,'Male','Has relevent experience','no_enrollment','Masters','STEM',14,'10-49','Funded Startup',1,192,0
0.926,'Male','Has relevent experience','no_enrollment','Masters','STEM',15,'10-49','Pvt Ltd',2,96,0
0.55,'Male','No relevent experience','no_enrollment','Masters','STEM',10,'10-49','Pvt Ltd',1,26,0
0.91,'Male','Has relevent experience','no_enrollment','Graduate','STEM',12,'10-49','Pvt Ltd',1,41,0
0.887,'Male','Has relevent experience','no_enrollment','Graduate','No Major',2,'10-49','Pvt Ltd',1,50,0
0.895,'Male','Has relevent experience','Part time course','Graduate','STEM',12,'10-49','Pvt Ltd',1,12,0
0.802,'Male','Has relevent experience','Full time course','Graduate','STEM',2,'10-49','Pvt Ltd',2,50,0
0.895,'Male','Has relevent experience','Part time course','Graduate','Arts',2,'10-49','Pvt Ltd',1,2,0
0.91,'Male','Has relevent experience','no_enrollment','Graduate','STEM',15,'10-49','Funded Startup',1,17,0
0.92,'Male','Has relevent experience','no_enrollment','Graduate','STEM',10,'10-49','Pvt Ltd',1,8,0
0.923,'Male','Has relevent experience','no_enrollment','Graduate','Arts',4,'10-49','Pvt Ltd',4,45,0
0.865,'Male','Has relevent experience','Full time course','Graduate','STEM',6,'10-49','Early Stage Startup',4,92,0
0.893,'Male','Has relevent experience','no_enrollment','Graduate','STEM',5,'10-49','Pvt Ltd',2,55,0
0.91,'Male','Has relevent experience','no_enrollment','Graduate','STEM',9,'10-49','Early Stage Startup',4,27,0
0.897,'Male','Has relevent experience','Part time course','Graduate','STEM',3,'10-49','Pvt Ltd',1,46,0
0.91,'Male','Has relevent experience','no_enrollment','Masters','STEM',12,'10-49','Pvt Ltd',2,77,0
0.884,'Male','No relevent experience','no_enrollment','Masters','STEM',6,'10-49','Pvt Ltd',3,6,0
0.887,'Male','Has relevent experience','no_enrollment','Graduate','Business Degree',2,'10-49','Pvt Ltd',1,218,0
0.924,'Male','Has relevent experience','no_enrollment','Graduate','STEM',18,'10-49','Early Stage Startup',1,16,0
0.926,'Male','Has relevent experience','no_enrollment','Graduate','STEM',10,'10-49','Funded Startup',2,14,0
0.92,'Male','Has relevent experience','no_enrollment','Graduate','STEM',3,'10-49','Pvt Ltd',1,16,0
0.804,'Male','Has relevent experience','no_enrollment','Masters','STEM',8,'10-49','Pvt Ltd',1,2,0
0.866,'Male','No relevent experience','Full time course','Masters','STEM',5,'10-49','Public Sector',1,31,0
0.91,'Male','Has relevent experience','no_enrollment','Graduate','Arts',12,'10-49','Pvt Ltd',1,50,0
0.92,'Male','No relevent experience','Part time course','Graduate','STEM',4,'10-49','Pvt Ltd',1,57,0
0.92,'Male','Has relevent experience','no_enrollment','Graduate','STEM',18,'10-49','NGO',2,13,0
0.666,'Male','Has relevent experience','no_enrollment','Graduate','STEM',14,'10-49','Pvt Ltd',1,39,0
0.794,'Male','No relevent experience','no_enrollment','Graduate','STEM',1,'10-49','Pvt Ltd',1,55,0
0.913,'Male','Has relevent experience','no_enrollment','Graduate','STEM',15,'10-49','Pvt Ltd',1,15,0
0.624,'Male','Has relevent experience','no_enrollment','Graduate','STEM',10,'10-49','Early Stage Startup',1,24,0
0.91,'Male','Has relevent experience','no_enrollment','Graduate','STEM',17,'10-49','Pvt Ltd',3,54,0
0.92,'Male','Has relevent experience','no_enrollment','Graduate','STEM',16,'10-49','Funded Startup',4,12,0
0.926,'Male','Has relevent experience','no_enrollment','Graduate','STEM',13,'10-49','Funded Startup',3,154,0
0.926,'Male','Has relevent experience','no_enrollment','Graduate','STEM',9,'10-49','Pvt Ltd',3,10,0
0.926,'Male','Has relevent experience','no_enrollment','Graduate','Arts',5,'10-49','Pvt Ltd',4,11,0
0.624,'Male','Has relevent experience','no_enrollment','Masters','STEM',6,'10-49','Early Stage Startup',1,83,0
0.92,'Male','Has relevent experience','no_enrollment','Graduate','Humanities',11,'10-49','Funded Startup',1,75,0
0.926,'Male','No relevent experience','no_enrollment','Graduate','STEM',17,'10-49','Pvt Ltd',1,18,0
0.91,'Male','Has relevent experience','no_enrollment','Graduate','STEM',14,'10-49','Funded Startup',1,26,0
0.897,'Male','Has relevent experience','no_enrollment','Masters','STEM',19,'10-49','Funded Startup',3,12,0
0.897,'Male','Has relevent experience','no_enrollment','Masters','STEM',6,'10-49','Funded Startup',2,146,0
0.92,'Male','Has relevent experience','no_enrollment','Graduate','STEM',8,'10-49','Funded Startup',1,57,0
0.926,'Male','No relevent experience','no_enrollment','Graduate','STEM',4,'10-49','Pvt Ltd',4,18,0
0.698,'Male','Has relevent experience','no_enrollment','Masters','STEM',7,'10-49','Pvt Ltd',2,25,0
0.92,'Male','Has relevent experience','Full time course','Graduate','STEM',20,'10-49','Pvt Ltd',1,334,0
0.913,'Male','Has relevent experience','no_enrollment','Graduate','STEM',12,'10-49','Pvt Ltd',1,58,0
0.624,'Male','Has relevent experience','Full time course','Phd','STEM',4,'10-49','NGO',2,17,0
0.92,'Male','Has relevent experience','no_enrollment','Graduate','Humanities',3,'10-49','Early Stage Startup',1,30,0
0.666,'Male','Has relevent experience','no_enrollment','Graduate','STEM',8,'10-49','Pvt Ltd',1,96,0
0.624,'Male','Has relevent experience','Part time course','Graduate','STEM',3,'10-49','Pvt Ltd',1,198,0
0.701,'Male','Has relevent experience','no_enrollment','Masters','STEM',16,'10-49','Pvt Ltd',3,11,0
0.897,'Male','Has relevent experience','no_enrollment','Masters','STEM',14,'10-49','Pvt Ltd',1,15,0
0.926,'Male','Has relevent experience','no_enrollment','Graduate','STEM',6,'10-49','Pvt Ltd',2,9,0
0.92,'Male','Has relevent experience','no_enrollment','Graduate','STEM',14,'10-49','Pvt Ltd',2,4,0
0.698,'Male','No relevent experience','Part time course','Graduate','STEM',18,'10-49','Early Stage Startup',1,97,0
0.91,'Male','Has relevent experience','no_enrollment','Graduate','STEM',6,'10-49','Pvt Ltd',3,42,0
0.91,'Male','Has relevent experience','no_enrollment','Masters','STEM',16,'10-49','Pvt Ltd',1,144,0
0.92,'Male','Has relevent experience','no_enrollment','Graduate','STEM',6,'10-49','Funded Startup',1,102,0
0.893,'Male','Has relevent experience','Part time course','Graduate','STEM',6,'10-49','Pvt Ltd',4,5,0
0.91,'Male','Has relevent experience','no_enrollment','Graduate','Business Degree',1,'10-49','Pvt Ltd',1,8,0
0.91,'Male','Has relevent experience','no_enrollment','Graduate','Arts',16,'10-49','Pvt Ltd',2,82,0
0.884,'Male','Has relevent experience','no_enrollment','Masters','STEM',19,'10-49','Pvt Ltd',2,167,0
0.764,'Male','No relevent experience','Full time course','Graduate','STEM',2,'10-49','Early Stage Startup',1,131,0
0.92,'Male','No relevent experience','no_enrollment','Graduate','STEM',6,'10-49','Early Stage Startup',1,34,0
0.92,'Male','No relevent experience','Full time course','Graduate','STEM',2,'10-49','Public Sector',1,336,0
0.698,'Male','Has relevent experience','no_enrollment','Graduate','STEM',1,'10-49','Early Stage Startup',1,32,0
0.558,'Male','Has relevent experience','no_enrollment','Graduate','STEM',6,'10-49','Pvt Ltd',1,204,0
0.887,'Male','No relevent experience','no_enrollment','Masters','STEM',4,'10-49','Pvt Ltd',1,77,0
0.767,'Male','Has relevent experience','no_enrollment','Graduate','STEM',7,'10-49','Funded Startup',1,91,0
0.775,'Male','Has relevent experience','no_enrollment','Graduate','STEM',10,'10-49','Pvt Ltd',1,37,0
0.926,'Male','Has relevent experience','no_enrollment','Graduate','Other',10,'10-49','Pvt Ltd',1,130,0
0.92,'Male','Has relevent experience','no_enrollment','Graduate','Business Degree',16,'10-49','Pvt Ltd',1,80,0
0.895,'Male','Has relevent experience','no_enrollment','Masters','STEM',3,'10-49','Funded Startup',1,14,0
0.624,'Male','Has relevent experience','no_enrollment','Graduate','STEM',2,'10-49','Funded Startup',1,23,0
0.926,'Male','Has relevent experience','no_enrollment','Graduate','STEM',13,'10-49','Pvt Ltd',1,97,0
0.926,'Male','Has relevent experience','no_enrollment','Masters','Other',17,'10-49','Pvt Ltd',1,26,0
0.55,'Male','No relevent experience','Part time course','Graduate','STEM',3,'10-49','Pvt Ltd',1,322,0
0.624,'Male','Has relevent experience','no_enrollment','Graduate','STEM',11,'10-49','Pvt Ltd',1,136,0
0.926,'Male','Has relevent experience','no_enrollment','Graduate','STEM',4,'10-49','Early Stage Startup',1,31,0
0.804,'Male','Has relevent experience','no_enrollment','Masters','STEM',8,'10-49','Pvt Ltd',4,156,0
0.92,'Male','Has relevent experience','no_enrollment','Graduate','STEM',16,'10-49','Funded Startup',2,11,0
0.939,'Male','Has relevent experience','no_enrollment','Graduate','STEM',10,'10-49','Pvt Ltd',2,123,0
0.899,'Male','Has relevent experience','no_enrollment','Masters','Humanities',19,'10-49','Pvt Ltd',2,150,0
0.92,'Male','Has relevent experience','no_enrollment','Graduate','STEM',9,'10-49','Pvt Ltd',1,65,0
0.89,'Male','Has relevent experience','Full time course','Graduate','STEM',4,'10-49','Pvt Ltd',2,100,0
0.897,'Male','No relevent experience','Full time course','Graduate','STEM',4,'10-49','Early Stage Startup',1,48,0
0.83,'Male','Has relevent experience','no_enrollment','Masters','STEM',11,'10-49','Funded Startup',2,116,0
0.698,'Male','No relevent experience','Part time course','Graduate','STEM',3,'10-49','Pvt Ltd',1,9,0
0.91,'Male','Has relevent experience','no_enrollment','Masters','STEM',8,'10-49','Pvt Ltd',1,130,0
0.92,'Male','Has relevent experience','no_enrollment','Graduate','STEM',10,'10-49','Pvt Ltd',2,16,0
0.926,'Male','Has relevent experience','no_enrollment','Phd','STEM',8,'10-49','Public Sector',1,21,0
0.91,'Male','Has relevent experience','no_enrollment','Masters','STEM',16,'10-49','Pvt Ltd',4,102,0
0.899,'Male','Has relevent experience','no_enrollment','Graduate','STEM',3,'10-49','Funded Startup',1,95,0
0.624,'Male','Has relevent experience','Full time course','Graduate','STEM',9,'10-49','Pvt Ltd',3,79,0
0.766,'Male','Has relevent experience','no_enrollment','Graduate','STEM',6,'10-49','Early Stage Startup',2,78,0
0.682,'Male','Has relevent experience','no_enrollment','Graduate','STEM',10,'10-49','Funded Startup',1,24,0
0.926,'Male','No relevent experience','no_enrollment','Graduate','STEM',10,'10-49','Pvt Ltd',1,10,0
0.926,'Male','Has relevent experience','no_enrollment','Graduate','STEM',11,'10-49','Pvt Ltd',4,74,0
0.769,'Male','Has relevent experience','no_enrollment','Masters','STEM',9,'10-49','Pvt Ltd',1,86,0
0.884,'Male','Has relevent experience','no_enrollment','Graduate','STEM',6,'10-49','Pvt Ltd',4,14,0
0.92,'Male','Has relevent experience','no_enrollment','Graduate','STEM',18,'10-49','Pvt Ltd',2,110,0
0.91,'Male','Has relevent experience','no_enrollment','Graduate','Business Degree',12,'10-49','Pvt Ltd',1,113,0
0.926,'Male','No relevent experience','Full time course','Graduate','STEM',7,'10-49','Public Sector',4,46,0
0.92,'Male','Has relevent experience','no_enrollment','Masters','STEM',8,'10-49','Pvt Ltd',1,10,0
0.926,'Male','Has relevent experience','no_enrollment','Masters','STEM',18,'10-49','Early Stage Startup',1,178,0
0.926,'Male','Has relevent experience','Full time course','Graduate','STEM',6,'10-49','Funded Startup',1,54,0
0.949,'Male','Has relevent experience','no_enrollment','Graduate','STEM',5,'10-49','Pvt Ltd',1,38,0
0.899,'Male','Has relevent experience','no_enrollment','Masters','STEM',13,'10-49','Funded Startup',2,28,0
0.896,'Male','Has relevent experience','no_enrollment','Graduate','STEM',4,'10-49','Pvt Ltd',2,109,0
